HK,China1,China2,China3
INDEXHANGSENG:HSI__CUS,2828恆生H股,1099國藥控股,670東方航空
SHA:000001__CUS,2822南方A50,1177中國生物製藥,694北京首都機場
2800盈富基金,700騰訊控股,1211比亞迪,1114華晨中國汽車
5匯豐控股,941中國移動,2018瑞聲科技,2238廣汽集團
1長和,1398工商銀行,2382舜宇光學科技,2333長城汽車
1299友邦保險,3988中國銀行,371北控水務集團,836華潤電力
2388中銀香港,939建設銀行,590六福集團,2380中國電力
388香港交易所,2318中國平安,341大家樂集團,914海螺水泥
17新世界發展,2628中國人壽,,220統一企業中國
1113長實地產,386中國石化,,322康師傅控股
10恆隆集團,857中國石油,,
66港鐵公司,883中國海洋石油,,
293國泰航空,1766中國中車,,
144招商局國際,390中國中鐵,,
1928金沙中國有限公司,6030中信証券,,
27銀河娛樂,,,
2中電控股,,,
3香港中華煤氣,,,
