Large,Tech,Material,ETF,Foreign,pf1,Bond
INDEXDJX:.DJI__CUS,FB,XLE,IBB,CTRP,UA,IEF
INDEXSP:.INX__CUS,AMZN,RIO,TWM,HSBC,ARNA,TLT
INDEXNASDAQ:.IXIC__CUS,EBAY,BHP,QID,PTR,BTU,IEI
COST,MSFT,MON,FAZ,BABA,VNO,LQD
UNH,BABA,AGU,SVXY,TM,DHI,JNK
NKE,NFLX,POT,XIV,HMIN,DMND,HYG
ANF,INTC,SYT,FAS,TEO,DIOD,
SBUX,AMD,IP,TNA,HNP,,
V,QCOM,AA,THD,LFC,,
TSLA,TXN,X,EIDO,CHL,,
FB,NVDA,MT,EWH,BIDU,,
IBM,HPQ,PKX,EWJ,SINA,,
INTC,NOK,RIG,EWY,TAL,,
AAPL,TSM,FCX,EWT,EDU,,
GOOG,UMC,KOL,EEM,CAJ,,
GE,SPIL,,FXI,SNE,,
BA,ASX,,EWZ,MFG,,
GM,AUO,,INP,MTU,,
F,FSLR,,RSX,FTE,,
UNP,CREE,,EWG,,,
FDX,,,EWA,,,
LEN,,,EWS,,,
SPG,,,DIA,,,
BXP,,,SPY,,,
CAT,,,QQQ,,,
MT,,,IWM,,,
AA,,,GLD,,,
DD,,,SLV,,,
MMM,,,XLE,,,
CVX,,,VNQ,,,
RIG,,,JNK,,,
GS,,,TLT,,,
JPM,,,,,,
WFC,,,,,,
MS,,,,,,
BAC,,,,,,
C,,,,,,
WMT,,,,,,
HD,,,,,,
MCD,,,,,,
KO,,,,,,
PG,,,,,,
JNJ,,,,,,
PFE,,,,,,
T,,,,,,
VZ,,,,,,
DIS,,,,,,
VXX,,,,,,
IJH,,,,,,
IWM,,,,,,
